page,product_id,title,description
41,BLACK,"Foreground: BLACK\nBackground: WHITE\nWidth: 2... Foreground: WHITE\nBackground: BLACK\nWidth: 4... Foreground: WHITE\nBackground: BLACK\nWidth: 3... Foreground: WHITE\nWidth: 40 mm\nHeight: 10 mm... Name: 0, dtype: object",": Foreground: BLACK\nBackground: WHITE\nWidth: 2... Foreground: WHITE\nBackground: BLACK\nWidth: 4... Foreground: WHITE\nBackground: BLACK\nWidth: 3... Foreground: WHITE\nWidth: 40 mm\nHeight: 10 mm... Name: 0, dtype: object"
41,,"Name: 1, dtype: object",": Name: 1, dtype: object"
41,BLUE,"Foreground: BLUE\nDiameter: 32 mm\nREF 126TA4105 Foreground: BLACK\nBackground: GREY\nDiameter:... Foreground: WHITE\nBackground: BLACK\nWidth: 2... Foreground: BLACK\nBackground: YELLOW\nWidth: ... Name: 2, dtype: object",": Foreground: BLUE\nDiameter: 32 mm\nREF 126TA4105 Foreground: BLACK\nBackground: GREY\nDiameter:... Foreground: WHITE\nBackground: BLACK\nWidth: 2... Foreground: BLACK\nBackground: YELLOW\nWidth: ... Name: 2, dtype: object"
41,,"Name: 3, dtype: object",": Name: 3, dtype: object"
41,MIXED,"Foreground: MIXED\nBackground: GREY\nWidth: 38... Foreground: MIXED\nBackground: GREY\nWidth: 69... Foreground: BLACK\nBackground: WHITE\nWidth: 2... Foreground: MIXED\nBackground: GREY\nWidth: 72... Name: 4, dtype: object",": Foreground: MIXED\nBackground: GREY\nWidth: 38... Foreground: MIXED\nBackground: GREY\nWidth: 69... Foreground: BLACK\nBackground: WHITE\nWidth: 2... Foreground: MIXED\nBackground: GREY\nWidth: 72... Name: 4, dtype: object"
41,,"Name: 5, dtype: object",": Name: 5, dtype: object"
41,BLACK,"Foreground: BLACK\nBackground: WHITE\nWidth: 5... Foreground: BLACK\nBackground: WHITE\nWidth: 6... Foreground: WHITE\nBackground: BLACK\nWidth: 4... Foreground: GREY\nBackground: BLACK\nWidth: 28... Name: 6, dtype: object",": Foreground: BLACK\nBackground: WHITE\nWidth: 5... Foreground: BLACK\nBackground: WHITE\nWidth: 6... Foreground: WHITE\nBackground: BLACK\nWidth: 4... Foreground: GREY\nBackground: BLACK\nWidth: 28... Name: 6, dtype: object"
41,,"Name: 7, dtype: object",": Name: 7, dtype: object"
41,MIXED,"Foreground: MIXED\nBackground: MIXED\nWidth: 2... Foreground: BLACK\nBackground: GREY\nWidth: 15... Foreground: BLACK\nBackground: GREY\nWidth: 15... Foreground: BLACK\nBackground: SILVER\nWidth: ... Name: 8, dtype: object",": Foreground: MIXED\nBackground: MIXED\nWidth: 2... Foreground: BLACK\nBackground: GREY\nWidth: 15... Foreground: BLACK\nBackground: GREY\nWidth: 15... Foreground: BLACK\nBackground: SILVER\nWidth: ... Name: 8, dtype: object"
42,EFAS,caTegOry: dashbOard - elecTrIcITy For all our latest catalog,caTegOry: dashbOard - elecTrIcITy For all our latest catalogue updates and company info: www.tvh.com 40 yTIcIrTcele - draObhsad :yrogetac EFAS caTegOry: dashbOard - elecTrIcITy For all our latest catalogue updates and company info: www.tvh.com Foreground: BLACK Foreground: BLACK Foreground: MIXED Foreground: BLACK Background: WHITE Background: WHITE Background: WHITE Background: GREY Width: 61 mm Width: 64 mm Width: 105 mm Width: 22 mm Height: 62 mm Height: 25 mm Height: 45 mm Height: 13 mm REF 138TA2653 REF 139TA2857 REF 137TA9489 REF 123TA4677 Foreground: MIXED Foreground: BLACK Foreground: BLACK Foreground: SILVER Background: MIXED Background: WHITE Background: WHITE Background: BLACK Width: 95 mm Width: 30 mm Width: 25 mm Width: 40 mm Height: 108 mm Height: 40 mm Height: 25 mm Height: 40 mm REF 126TA4570 REF 137TA9646 REF 138TA3287 REF 126TA4268 Foreground: WHITE Foreground: BLACK Foreground: GREY Foreground: BLACK Background: BLACK Background: GREY Background: BLACK Background: GREY Width: 157 mm Width: 48 mm Height: 105 mm Height: 5 mm Diameter: 35 mm Diameter: 28 mm REF 138TA2512 REF 111TA2101 REF 123TA4680 REF 126TA9843 Foreground: BLACK Foreground: WHITE Foreground: WHITE Foreground: BLACK Background: WHITE Background: BLACK Background: BLACK Background: GREY Width: 25 mm Width: 63 mm Height: 25 mm Height: 28 mm Diameter: 35 mm Diameter: 28 mm REF 138TA3288 REF 123TA4681 REF 123TA4682 REF 137TA9681 Foreground: MIXED Foreground: BLACK Foreground: BLACK Foreground: MIXED Background: MIXED Background: WHITE Background: GREY Background: MIXED Width: 270 mm Width: 62 mm Width: 87 mm Width: 387 mm Height: 131 mm Height: 76 mm Height: 30 mm Height: 234 mm REF 138TA1437 REF 138TA2558 REF 137TA9712 REF 139TA2858 41
42,BLACK,"Foreground: BLACK\nBackground: WHITE\nWidth: 6... Foreground: BLACK\nBackground: WHITE\nWidth: 6... Foreground: MIXED\nBackground: WHITE\nWidth: 1... Foreground: BLACK\nBackground: GREY\nWidth: 22... Name: 0, dtype: object",": Foreground: BLACK\nBackground: WHITE\nWidth: 6... Foreground: BLACK\nBackground: WHITE\nWidth: 6... Foreground: MIXED\nBackground: WHITE\nWidth: 1... Foreground: BLACK\nBackground: GREY\nWidth: 22... Name: 0, dtype: object"
42,,"Name: 1, dtype: object",": Name: 1, dtype: object"
42,MIXED,"Foreground: MIXED\nBackground: MIXED\nWidth: 9... Foreground: BLACK\nBackground: WHITE\nWidth: 3... Foreground: BLACK\nBackground: WHITE\nWidth: 2... Foreground: SILVER\nBackground: BLACK\nWidth: ... Name: 2, dtype: object",": Foreground: MIXED\nBackground: MIXED\nWidth: 9... Foreground: BLACK\nBackground: WHITE\nWidth: 3... Foreground: BLACK\nBackground: WHITE\nWidth: 2... Foreground: SILVER\nBackground: BLACK\nWidth: ... Name: 2, dtype: object"
42,,"Name: 3, dtype: object",": Name: 3, dtype: object"
42,WHITE,"Foreground: WHITE\nBackground: BLACK\nWidth: 1... Foreground: BLACK\nBackground: GREY\nDiameter:... Foreground: GREY\nBackground: BLACK\nWidth: 48... Foreground: BLACK\nBackground: GREY\nDiameter:... Name: 4, dtype: object",": Foreground: WHITE\nBackground: BLACK\nWidth: 1... Foreground: BLACK\nBackground: GREY\nDiameter:... Foreground: GREY\nBackground: BLACK\nWidth: 48... Foreground: BLACK\nBackground: GREY\nDiameter:... Name: 4, dtype: object"
42,,"Name: 5, dtype: object",": Name: 5, dtype: object"
42,BLACK,"Foreground: BLACK\nBackground: WHITE\nWidth: 2... Foreground: WHITE\nBackground: BLACK\nDiameter... Foreground: WHITE\nBackground: BLACK\nWidth: 6... Foreground: BLACK\nBackground: GREY\nDiameter:... Name: 6, dtype: object",": Foreground: BLACK\nBackground: WHITE\nWidth: 2... Foreground: WHITE\nBackground: BLACK\nDiameter... Foreground: WHITE\nBackground: BLACK\nWidth: 6... Foreground: BLACK\nBackground: GREY\nDiameter:... Name: 6, dtype: object"
42,,"Name: 7, dtype: object",": Name: 7, dtype: object"
42,MIXED,"Foreground: MIXED\nBackground: MIXED\nWidth: 2... Foreground: BLACK\nBackground: WHITE\nWidth: 6... Foreground: BLACK\nBackground: GREY\nWidth: 87... Foreground: MIXED\nBackground: MIXED\nWidth: 3... Name: 8, dtype: object",": Foreground: MIXED\nBackground: MIXED\nWidth: 2... Foreground: BLACK\nBackground: WHITE\nWidth: 6... Foreground: BLACK\nBackground: GREY\nWidth: 87... Foreground: MIXED\nBackground: MIXED\nWidth: 3... Name: 8, dtype: object"
43,EFAS,caTegOry: dashbOard - elecTrIcITy caTegOry: dashbOard - elec,caTegOry: dashbOard - elecTrIcITy caTegOry: dashbOard - elecTrIcITy For all our latest catalogue updates and company info: www.tvh.com For all our latest catalogue updates and company info: www.tvh.com 40 41 EFAS yTIcIrTcele - draObhsad :yrogetac Foreground: MIXED Foreground: MIXED Foreground: MIXED Foreground: WHITE Background: MIXED Background: SILVER Background: MIXED Background: BLACK Width: 70 mm Width: 60 mm Width: 216 mm Height: 90 mm Height: 20 mm Height: 32 mm Diameter: 51 mm REF 138TA2576 REF 139TA2859 REF 138TA2944 REF 137TA9999 Foreground: WHITE Foreground: BLACK Foreground: GREY Foreground: BLACK Background: BLACK Background: GREY Background: RED Background: WHITE Width: 22 mm Width: 59 mm Width: 63 mm Height: 13 mm Height: 18 mm Height: 75 mm Diameter: 42 mm REF 123TA4684 REF 123TA4685 REF 126TA3326 REF 138TA2396
43,MIXED,"Foreground: MIXED\nBackground: MIXED\nWidth: 7... Foreground: MIXED\nBackground: SILVER\nDiamete... Foreground: MIXED\nBackground: MIXED\nWidth: 6... Foreground: WHITE\nBackground: BLACK\nWidth: 2... Name: 0, dtype: object",": Foreground: MIXED\nBackground: MIXED\nWidth: 7... Foreground: MIXED\nBackground: SILVER\nDiamete... Foreground: MIXED\nBackground: MIXED\nWidth: 6... Foreground: WHITE\nBackground: BLACK\nWidth: 2... Name: 0, dtype: object"
43,,"Name: 1, dtype: object",": Name: 1, dtype: object"
43,WHITE,"Foreground: WHITE\nBackground: BLACK\nDiameter... Foreground: BLACK\nBackground: GREY\nWidth: 22... Foreground: GREY\nBackground: RED\nWidth: 59 m... Foreground: BLACK\nBackground: WHITE\nWidth: 6... Name: 2, dtype: object",": Foreground: WHITE\nBackground: BLACK\nDiameter... Foreground: BLACK\nBackground: GREY\nWidth: 22... Foreground: GREY\nBackground: RED\nWidth: 59 m... Foreground: BLACK\nBackground: WHITE\nWidth: 6... Name: 2, dtype: object"
43,,"Name: 3, dtype: object",": Name: 3, dtype: object"
43,,"Name: 4, dtype: object",": Name: 4, dtype: object"
43,,"Name: 5, dtype: object",": Name: 5, dtype: object"
43,,"Name: 6, dtype: object",": Name: 6, dtype: object"
43,,"Name: 7, dtype: object",": Name: 7, dtype: object"
43,,"Name: 8, dtype: object",": Name: 8, dtype: object"
44,EFAS,caTegOry: dashbOard - hOrN For all our latest catalogue upda,"caTegOry: dashbOard - hOrN For all our latest catalogue updates and company info: www.tvh.com 42 NrOh - draObhsad :yrogetac EFAS caTegOry: dashbOard - hOrN For all our latest catalogue updates and company info: www.tvh.com Foreground: BLACK Foreground: BLACK Foreground: BLACK Foreground: BLACK Background: GREY Background: GREY Background: GREY Background: WHITE Width: 18 mm Width: 18 mm Width: 28 mm Width: 22 mm Height: 10 mm Height: 15 mm Height: 23 mm Height: 15 mm REF 137TA9481 REF 137TA9680 REF 137TA9479 REF 137TA9480 Foreground: BLACK Foreground: BLACK Foreground: BLACK Foreground: GREY Background: WHITE Background: WHITE Background: YELLOW Background: BLACK Width: 25 mm Width: 31,5 mm Width: 50 mm Width: 13 mm Height: 20 mm Height: 12,5 mm Height: 35 mm Height: 7 mm REF 137TA9487 REF 138TA2109 REF 139TA2860 REF 137TA9488 Foreground: GREY Foreground: GREY Foreground: GREY Foreground: GREY Background: BLACK Background: BLACK Background: BLACK Background: BLACK Width: 20 mm Width: 26 mm Width: 30 mm Width: 37 mm Height: 10 mm Height: 26 mm Height: 65 mm Height: 26 mm REF 126TA3311 REF 111TA2657 REF 137TA9482 REF 137TA9483 Foreground: GREY Foreground: GREY Foreground: MIXED Foreground: MIXED Background: BLACK Background: BLACK Background: BLACK Background: MIXED Width: 40 mm Width: 75 mm Width: 65 mm Width: 19 mm Height: 30 mm Height: 25 mm Height: 50 mm Height: 19 mm REF 138TA1369 REF 111TA2381 REF 137TA9485 REF 138TA1307 Foreground: SILVER Foreground: WHITE Foreground: WHITE Foreground: WHITE Background: BLACK Background: BLACK Background: BLACK Background: BLACK Width: 80 mm Width: 20 mm Width: 20 mm Width: 26 mm Height: 218 mm Height: 15 mm Height: 20 mm Height: 19 mm REF 137TA9863 REF 138TA1917 REF 137TA9729 REF 137TA9484 43"
44,BLACK,"Foreground: BLACK\nBackground: GREY\nWidth: 18... Foreground: BLACK\nBackground: GREY\nWidth: 18... Foreground: BLACK\nBackground: GREY\nWidth: 28... Foreground: BLACK\nBackground: WHITE\nWidth: 2... Name: 0, dtype: object",": Foreground: BLACK\nBackground: GREY\nWidth: 18... Foreground: BLACK\nBackground: GREY\nWidth: 18... Foreground: BLACK\nBackground: GREY\nWidth: 28... Foreground: BLACK\nBackground: WHITE\nWidth: 2... Name: 0, dtype: object"
44,,"Name: 1, dtype: object",": Name: 1, dtype: object"
44,BLACK,"Foreground: BLACK\nBackground: WHITE\nWidth: 2... Foreground: BLACK\nBackground: WHITE\nWidth: 3... Foreground: BLACK\nBackground: YELLOW\nWidth: ... Foreground: GREY\nBackground: BLACK\nWidth: 13... Name: 2, dtype: object",": Foreground: BLACK\nBackground: WHITE\nWidth: 2... Foreground: BLACK\nBackground: WHITE\nWidth: 3... Foreground: BLACK\nBackground: YELLOW\nWidth: ... Foreground: GREY\nBackground: BLACK\nWidth: 13... Name: 2, dtype: object"
44,,"Name: 3, dtype: object",": Name: 3, dtype: object"
44,GREY,"Foreground: GREY\nBackground: BLACK\nWidth: 20... Foreground: GREY\nBackground: BLACK\nWidth: 26... Foreground: GREY\nBackground: BLACK\nWidth: 30... Foreground: GREY\nBackground: BLACK\nWidth: 37... Name: 4, dtype: object",": Foreground: GREY\nBackground: BLACK\nWidth: 20... Foreground: GREY\nBackground: BLACK\nWidth: 26... Foreground: GREY\nBackground: BLACK\nWidth: 30... Foreground: GREY\nBackground: BLACK\nWidth: 37... Name: 4, dtype: object"
44,,"Name: 5, dtype: object",": Name: 5, dtype: object"
44,GREY,"Foreground: GREY\nBackground: BLACK\nWidth: 40... Foreground: GREY\nBackground: BLACK\nWidth: 75... Foreground: MIXED\nBackground: BLACK\nWidth: 6... Foreground: MIXED\nBackground: MIXED\nWidth: 1... Name: 6, dtype: object",": Foreground: GREY\nBackground: BLACK\nWidth: 40... Foreground: GREY\nBackground: BLACK\nWidth: 75... Foreground: MIXED\nBackground: BLACK\nWidth: 6... Foreground: MIXED\nBackground: MIXED\nWidth: 1... Name: 6, dtype: object"
44,,"Name: 7, dtype: object",": Name: 7, dtype: object"
44,SILVER,"Foreground: SILVER\nBackground: BLACK\nWidth: ... Foreground: WHITE\nBackground: BLACK\nWidth: 2... Foreground: WHITE\nBackground: BLACK\nWidth: 2... Foreground: WHITE\nBackground: BLACK\nWidth: 2... Name: 8, dtype: object",": Foreground: SILVER\nBackground: BLACK\nWidth: ... Foreground: WHITE\nBackground: BLACK\nWidth: 2... Foreground: WHITE\nBackground: BLACK\nWidth: 2... Foreground: WHITE\nBackground: BLACK\nWidth: 2... Name: 8, dtype: object"
45,EFAS,caTegOry: dashbOard - hOrN caTegOry: dashbOard - hOrN For al,"caTegOry: dashbOard - hOrN caTegOry: dashbOard - hOrN For all our latest catalogue updates and company info: www.tvh.com For all our latest catalogue updates and company info: www.tvh.com 42 43 EFAS NrOh - draObhsad :yrogetac Foreground: WHITE Foreground: WHITE Foreground: WHITE Foreground: WHITE Background: BLACK Background: BLACK Background: TRANSPARENT Background: TRANSPARENT Width: 30 mm Width: 49,3 mm Width: 20 mm Width: 31 mm Height: 65 mm Height: 21,4 mm Height: 13 mm Height: 15 mm REF 137TA9821 REF 138TA2236 REF 126TA9599 REF 107TA7681 Foreground: GREY Foreground: GREY Background: BLACK Background: BLACK Width: 50 mm Width: 45 mm Height: 10 mm Height: 8 mm REF 123TA4641 REF 123TA4642"
45,WHITE,"Foreground: WHITE\nBackground: BLACK\nWidth: 3... Foreground: WHITE\nBackground: BLACK\nWidth: 4... Foreground: WHITE\nBackground: TRANSPARENT\nWi... Foreground: WHITE\nBackground: TRANSPARENT\nWi... Name: 0, dtype: object",": Foreground: WHITE\nBackground: BLACK\nWidth: 3... Foreground: WHITE\nBackground: BLACK\nWidth: 4... Foreground: WHITE\nBackground: TRANSPARENT\nWi... Foreground: WHITE\nBackground: TRANSPARENT\nWi... Name: 0, dtype: object"
45,,"Name: 1, dtype: object",": Name: 1, dtype: object"
45,GREY,"Foreground: GREY\nBackground: BLACK\nWidth: 50... Foreground: GREY\nBackground: BLACK\nWidth: 45... Name: 2, dtype: object",": Foreground: GREY\nBackground: BLACK\nWidth: 50... Foreground: GREY\nBackground: BLACK\nWidth: 45... Name: 2, dtype: object"
45,,"Name: 3, dtype: object",": Name: 3, dtype: object"
45,,"Name: 4, dtype: object",": Name: 4, dtype: object"
45,,"Name: 5, dtype: object",": Name: 5, dtype: object"
45,,"Name: 6, dtype: object",": Name: 6, dtype: object"
45,,"Name: 7, dtype: object",": Name: 7, dtype: object"
45,,"Name: 8, dtype: object",": Name: 8, dtype: object"
46,EFAS,caTegOry: dashbOard - lIghTs For all our latest catalogue up,"caTegOry: dashbOard - lIghTs For all our latest catalogue updates and company info: www.tvh.com 44 sThgIl - draObhsad :yrogetac EFAS Foreground: BLACK Foreground: BLACK Foreground: BLACK Foreground: BLACK Background: BLACK Background: GREY Background: GREY Background: SILVER Width: 56 mm Width: 50 mm Width: 50 mm Width: 44 mm Height: 36 mm Height: 20 mm Height: 25 mm Height: 11 mm REF 137TA9794 REF 123TA4687 REF 139TA2861 REF 138TA3005 Foreground: GREY Foreground: MIXED Foreground: MIXED Foreground: WHITE Background: BLACK Background: BLACK Background: MIXED Background: BLACK Width: 19 mm Width: 186 mm Width: 188 mm Width: 14,3 mm Height: 44 mm Height: 59 mm Height: 60 mm Height: 14,2 mm REF 139TA2862 REF 126TA3917 REF 126TA4552 REF 138TA1670 Foreground: WHITE Foreground: WHITE Foreground: WHITE Foreground: WHITE Background: BLACK Background: BLACK Background: BLACK Background: BLACK Width: 19 mm Width: 25 mm Width: 25 mm Width: 30 mm Height: 19 mm Height: 40 mm Height: 40 mm Height: 53 mm REF 138TA6946 REF 126TA3346 REF 123TA4690 REF 139TA2863 Foreground: WHITE Foreground: WHITE Foreground: BLACK Foreground: MIXED Background: BLACK Background: BLACK Background: TRANSPARENT Background: BLACK Width: 43 mm Width: 43 mm Width: 210 mm Width: 56 mm Height: 19 mm Height: 19 mm Height: 120 mm Height: 36 mm REF 137TA9510 REF 123TA4691 REF 126TA9866 REF 137TA9761 Foreground: BLACK Foreground: SILVER Foreground: BLACK Foreground: MIXED Background: WHITE Background: BLACK Background: YELLOW Background: MIXED Width: 127,5 mm Width: 30 mm Width: 50 mm Width: 20 mm Height: 25,5 mm Height: 10 mm Height: 31 mm Height: 55 mm REF 139TA2864 REF 123TA4695 REF 111TA2432 REF 126TA9829"
46,BLACK,"Foreground: BLACK\nBackground: BLACK\nWidth: 5... Foreground: BLACK\nBackground: GREY\nWidth: 50... Foreground: BLACK\nBackground: GREY\nWidth: 50... Foreground: BLACK\nBackground: SILVER\nWidth: ... Name: 0, dtype: object",": Foreground: BLACK\nBackground: BLACK\nWidth: 5... Foreground: BLACK\nBackground: GREY\nWidth: 50... Foreground: BLACK\nBackground: GREY\nWidth: 50... Foreground: BLACK\nBackground: SILVER\nWidth: ... Name: 0, dtype: object"
46,,"Name: 1, dtype: object",": Name: 1, dtype: object"
46,GREY,"Foreground: GREY\nBackground: BLACK\nWidth: 19... Foreground: MIXED\nBackground: BLACK\nWidth: 1... Foreground: MIXED\nBackground: MIXED\nWidth: 1... Foreground: WHITE\nBackground: BLACK\nWidth: 1... Name: 2, dtype: object",": Foreground: GREY\nBackground: BLACK\nWidth: 19... Foreground: MIXED\nBackground: BLACK\nWidth: 1... Foreground: MIXED\nBackground: MIXED\nWidth: 1... Foreground: WHITE\nBackground: BLACK\nWidth: 1... Name: 2, dtype: object"
46,,"Name: 3, dtype: object",": Name: 3, dtype: object"
46,WHITE,"Foreground: WHITE\nBackground: BLACK\nWidth: 1... Foreground: WHITE\nBackground: BLACK\nWidth: 2... Foreground: WHITE\nBackground: BLACK\nWidth: 2... Foreground: WHITE\nBackground: BLACK\nWidth: 3... Name: 4, dtype: object",": Foreground: WHITE\nBackground: BLACK\nWidth: 1... Foreground: WHITE\nBackground: BLACK\nWidth: 2... Foreground: WHITE\nBackground: BLACK\nWidth: 2... Foreground: WHITE\nBackground: BLACK\nWidth: 3... Name: 4, dtype: object"
46,,"Name: 5, dtype: object",": Name: 5, dtype: object"
46,WHITE,"Foreground: WHITE\nBackground: BLACK\nWidth: 4... Foreground: WHITE\nBackground: BLACK\nWidth: 4... Foreground: BLACK\nBackground: TRANSPARENT\nWi... Foreground: MIXED\nBackground: BLACK\nWidth: 5... Name: 6, dtype: object",": Foreground: WHITE\nBackground: BLACK\nWidth: 4... Foreground: WHITE\nBackground: BLACK\nWidth: 4... Foreground: BLACK\nBackground: TRANSPARENT\nWi... Foreground: MIXED\nBackground: BLACK\nWidth: 5... Name: 6, dtype: object"
46,,"Name: 7, dtype: object",": Name: 7, dtype: object"
46,BLACK,"Foreground: BLACK\nBackground: WHITE\nWidth: 1... Foreground: SILVER\nBackground: BLACK\nWidth: ... Foreground: BLACK\nBackground: YELLOW\nWidth: ... Foreground: MIXED\nBackground: MIXED\nWidth: 2... Name: 8, dtype: object",": Foreground: BLACK\nBackground: WHITE\nWidth: 1... Foreground: SILVER\nBackground: BLACK\nWidth: ... Foreground: BLACK\nBackground: YELLOW\nWidth: ... Foreground: MIXED\nBackground: MIXED\nWidth: 2... Name: 8, dtype: object"
47,TION,caTegOry: fOrk - cOmbINaTIONs For all our latest catalogue u,"caTegOry: fOrk - cOmbINaTIONs For all our latest catalogue updates and company info: www.tvh.com 45 EFAS sNOITaNIbmOc - krOf :yrogetac Foreground: BLACK Foreground: BLACK Foreground: BLACK Foreground: BLACK Background: GREY Background: GREY Background: GREY Background: GREY Width: 25 mm Width: 25 mm Width: 45 mm Width: 57 mm Height: 22 mm Height: 61 mm Height: 31 mm Height: 57 mm REF 138TA2233 REF 123TA4696 REF 138TA1326 REF 126TA3231 Foreground: BLACK Foreground: BLACK Foreground: BLACK Foreground: BLACK Background: GREY Background: GREY Background: GREY Background: GREY Width: 60 mm Width: 60 mm Width: 60 mm Width: 66 mm Height: 50 mm Height: 60 mm Height: 70 mm Height: 65 mm REF 138TA1582 REF 111TA2623 REF 126TA3221 REF 138TA1699 Foreground: BLACK Foreground: BLACK Foreground: BLACK Foreground: BLACK Background: GREY Background: GREY Background: GREY Background: GREY Width: 70 mm Width: 78 mm Width: 82 mm Width: 90 mm Height: 181 mm Height: 83 mm Height: 50 mm Height: 100 mm REF 138TA3552 REF 111TA2119 REF 123TA4698 REF 126TA3230 Foreground: BLACK Foreground: BLACK Foreground: BLACK Foreground: BLACK Background: GREY Background: GREY Background: GREY Background: GREY Width: 99 mm Width: 103 mm Width: 150 mm Width: 181 mm Height: 105 mm Height: 22 mm Height: 52 mm Height: 150 mm REF 138TA1682 REF 137TA9789 REF 138TA2365 REF 123TA4701 Foreground: BLACK Foreground: BLACK Foreground: BLACK Foreground: BLACK Background: GREY Background: MIXED Background: ORANGE Background: SILVER Width: 235 mm Width: 47 mm Width: 80 mm Width: 75 mm Height: 70 mm Height: 18 mm Height: 64,5 mm Height: 75 mm REF 137TA9385 REF 139TA2865 REF 138TA3048 REF 126TA9827"
47,BLACK,"Foreground: BLACK\nBackground: GREY\nWidth: 25... Foreground: BLACK\nBackground: GREY\nWidth: 25... Foreground: BLACK\nBackground: GREY\nWidth: 45... Foreground: BLACK\nBackground: GREY\nWidth: 57... Name: 0, dtype: object",": Foreground: BLACK\nBackground: GREY\nWidth: 25... Foreground: BLACK\nBackground: GREY\nWidth: 25... Foreground: BLACK\nBackground: GREY\nWidth: 45... Foreground: BLACK\nBackground: GREY\nWidth: 57... Name: 0, dtype: object"
47,,"Name: 1, dtype: object",": Name: 1, dtype: object"
47,BLACK,"Foreground: BLACK\nBackground: GREY\nWidth: 60... Foreground: BLACK\nBackground: GREY\nWidth: 60... Foreground: BLACK\nBackground: GREY\nWidth: 60... Foreground: BLACK\nBackground: GREY\nWidth: 66... Name: 2, dtype: object",": Foreground: BLACK\nBackground: GREY\nWidth: 60... Foreground: BLACK\nBackground: GREY\nWidth: 60... Foreground: BLACK\nBackground: GREY\nWidth: 60... Foreground: BLACK\nBackground: GREY\nWidth: 66... Name: 2, dtype: object"
47,,"Name: 3, dtype: object",": Name: 3, dtype: object"
47,BLACK,"Foreground: BLACK\nBackground: GREY\nWidth: 70... Foreground: BLACK\nBackground: GREY\nWidth: 78... Foreground: BLACK\nBackground: GREY\nWidth: 82... Foreground: BLACK\nBackground: GREY\nWidth: 90... Name: 4, dtype: object",": Foreground: BLACK\nBackground: GREY\nWidth: 70... Foreground: BLACK\nBackground: GREY\nWidth: 78... Foreground: BLACK\nBackground: GREY\nWidth: 82... Foreground: BLACK\nBackground: GREY\nWidth: 90... Name: 4, dtype: object"
47,,"Name: 5, dtype: object",": Name: 5, dtype: object"
47,BLACK,"Foreground: BLACK\nBackground: GREY\nWidth: 99... Foreground: BLACK\nBackground: GREY\nWidth: 10... Foreground: BLACK\nBackground: GREY\nWidth: 15... Foreground: BLACK\nBackground: GREY\nWidth: 18... Name: 6, dtype: object",": Foreground: BLACK\nBackground: GREY\nWidth: 99... Foreground: BLACK\nBackground: GREY\nWidth: 10... Foreground: BLACK\nBackground: GREY\nWidth: 15... Foreground: BLACK\nBackground: GREY\nWidth: 18... Name: 6, dtype: object"
47,,"Name: 7, dtype: object",": Name: 7, dtype: object"
47,BLACK,"Foreground: BLACK\nBackground: GREY\nWidth: 23... Foreground: BLACK\nBackground: MIXED\nWidth: 4... Foreground: BLACK\nBackground: ORANGE\nWidth: ... Foreground: BLACK\nBackground: SILVER\nWidth: ... Name: 8, dtype: object",": Foreground: BLACK\nBackground: GREY\nWidth: 23... Foreground: BLACK\nBackground: MIXED\nWidth: 4... Foreground: BLACK\nBackground: ORANGE\nWidth: ... Foreground: BLACK\nBackground: SILVER\nWidth: ... Name: 8, dtype: object"
48,TION,caTegOry: fOrk - cOmbINaTIONs For all our latest catalogue u,"caTegOry: fOrk - cOmbINaTIONs For all our latest catalogue updates and company info: www.tvh.com 46 sNOITaNIbmOc - krOf :yrogetac EFAS caTegOry: fOrk - cOmbINaTIONs For all our latest catalogue updates and company info: www.tvh.com Foreground: BLACK Foreground: BLACK Foreground: BLACK Foreground: BLACK Background: SILVER Background: TRANSPARENT Background: WHITE Background: WHITE Width: 150 mm Width: 280 mm Width: 75 mm Width: 100 mm Height: 54 mm Height: 142 mm Height: 75 mm Height: 146 mm REF 126TA4476 REF 138TA2176 REF 111TA2613 REF 126TA3664 Foreground: BLACK Foreground: BLACK Foreground: BLACK Foreground: BLACK Background: WHITE Background: WHITE Background: WHITE Background: WHITE Width: 100 mm Width: 100 mm Width: 100 mm Width: 100 mm Height: 147 mm Height: 147 mm Height: 147 mm Height: 147 mm REF 126TA4352 REF 138TA1470 REF 138TA3780 REF 126TA3996 Foreground: BLACK Foreground: BLACK Foreground: BLACK Foreground: BLACK Background: WHITE Background: WHITE Background: WHITE Background: WHITE Width: 100 mm Width: 100 mm Width: 100 mm Width: 100 mm Height: 147 mm Height: 147 mm Height: 147 mm Height: 147 mm REF 138TA1557 REF 138TA3124 REF 138TA1866 REF 138TA3187 Foreground: BLACK Foreground: BLACK Foreground: BLACK Foreground: BLACK Background: WHITE Background: WHITE Background: WHITE Background: WHITE Width: 100 mm Width: 100 mm Width: 100 mm Width: 100 mm Height: 147 mm Height: 147 mm Height: 147 mm Height: 147 mm REF 138TA1931 REF 138TA3129 REF 139TA2866 REF 138TA1472 Foreground: BLACK Foreground: GREY Foreground: GREY Foreground: GREY Background: WHITE Background: BLACK Background: BLACK Background: BLACK Width: 100 mm Width: 21 mm Height: 148 mm Height: 21 mm Diameter: 28,7 mm Diameter: 28,8 mm REF 126TA4276 REF 137TA9770 REF 137TA9775 REF 138TA2631 47"
